Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667
Decision Tree,0.7377049180327869,0.6764705882352942,0.8214285714285714,0.7419354838709677
